日期,開盤,收盤,現金,持股,持股價值,總價值,報酬率,動作,交易信號,買入機率,賣出機率
2024-12-28,3328.774658,3397.902344,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,hold,,0.0663,0.35600000000000004
2024-12-29,3397.862549,3349.513428,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,hold,,0.2626,0.09609999999999999
2024-12-30,3349.585938,3356.392578,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,hold,,0.09029999999999999,0.3506
2024-12-31,3356.394775,3332.531738,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,hold,,0.1075,0.364
2025-01-01,3332.406494,3353.50415,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,hold,,0.0779,0.251
2025-01-02,3353.412109,3451.392578,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.011399999999999999,0.9666
2025-01-03,3451.680908,3605.009766,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.001,0.9979
2025-01-04,3605.200684,3657.706787,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0001,0.9995
2025-01-05,3657.743164,3634.10376,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0001,0.9995999999999999
2025-01-06,3634.11377,3688.611328,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0,0.9998999999999999
2025-01-07,3688.341309,3381.577393,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.0044,0.9875
2025-01-08,3381.615479,3326.329346,142159691.77204633,0,0.0,142159691.77204633,141.15969177204633,sell,,0.2352,0.3986
2025-01-09,3326.359619,3219.430664,139.8824444115162,44093,141954356.267752,141954496.1501964,140.9544961501964,buy,buy,0.6743000000000001,0.031200000000000002
2025-01-10,3219.496582,3267.48999,139.8824444115162,44093,144073436.12907,144073576.01151443,143.07357601151443,buy,,0.58,0.061399999999999996
2025-01-11,3267.522461,3282.217773,139.8824444115162,44093,144722828.264889,144722968.1473334,143.7229681473334,buy,,0.5736,0.0341
2025-01-12,3282.150391,3265.951172,139.8824444115162,44093,144005585.02699602,144005724.90944043,143.00572490944043,buy,,0.5303,0.0393
2025-01-13,3266.095459,3135.499756,139.8824444115162,44093,138253590.741308,138253730.62375242,137.2537306237524,buy,,0.7009000000000001,0.0009
2025-01-14,3135.670166,3223.68457,139.8824444115162,44093,142141923.74501,142142063.6274544,141.1420636274544,hold,,0.3713,0.0106
2025-01-15,3223.68457,3450.537598,151917654.62158376,0,0.0,151917654.62158376,150.91765462158375,sell,sell,0.16690000000000002,0.6129
2025-01-16,3450.305176,3308.345215,151917654.62158376,0,0.0,151917654.62158376,150.91765462158375,hold,,0.4366,0.057699999999999994
2025-01-17,3308.191162,3474.107178,151917654.62158376,0,0.0,151917654.62158376,150.91765462158375,sell,,0.017,0.9595
2025-01-18,3473.563721,3305.789551,151917654.62158376,0,0.0,151917654.62158376,150.91765462158375,sell,,0.2353,0.42219999999999996
2025-01-19,3305.397949,3208.964355,151917654.62158376,0,0.0,151917654.62158376,150.91765462158375,hold,,0.2161,0.0633
2025-01-20,3208.933838,3278.0354,151917654.62158376,0,0.0,151917654.62158376,150.91765462158375,hold,,0.3226,0.0356
