Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-03-22,39.375,39.5625,39.125,38.297295,27109996.0,0,0
2024-03-25,39.299999,39.5,39.237499,38.370384,34332452.0,0,0
2024-03-26,39.575001,39.799999,39.099998,38.394745,26127772.0,0,0
2024-03-27,39.349998,39.462502,39.224998,38.406925,17547948.0,0,0
2024-03-28,39.325001,39.325001,38.974998,38.224209,12641392.0,0,0
2024-03-29,39.224998,39.487499,39.224998,38.443474,20572000.0,0,0
2024-04-01,39.549999,39.6875,39.3125,38.34602,21344696.0,0,0
2024-04-02,39.612499,39.912498,39.599998,38.894169,29364088.0,0,0
2024-04-03,39.662498,39.724998,39.450001,38.62619,18550252.0,0,0
2024-04-08,39.662498,39.962502,39.637501,38.845444,22629184.0,0,0
2024-04-09,40.0,40.837502,39.974998,39.771206,32581692.0,0,0
2024-04-10,40.6875,40.825001,40.612499,39.7103,21203720.0,0,0
2024-04-11,40.512501,40.625,40.412498,39.58849,17270700.0,0,0
2024-04-12,40.650002,40.700001,40.487499,39.491043,23321576.0,0,0
2024-04-15,40.0625,40.137501,39.900002,38.979439,31563124.0,0,0
2024-04-16,39.575001,39.575001,38.6875,37.919682,66621548.0,0,0
2024-04-17,38.987499,39.424999,38.974998,38.34602,30823556.0,0,0
2024-04-18,39.087502,39.737499,38.950001,38.723633,26278092.0,0,0
2024-04-19,38.525002,38.537498,37.375,36.762482,121590104.0,0,0
2024-04-22,37.599998,37.9375,37.424999,36.652851,37041220.0,0,0
2024-04-23,38.037498,38.112499,37.825001,37.0061,21648704.0,0,0
2024-04-24,38.5,39.125,38.5,38.090218,30701016.0,0,0
2024-04-25,38.525002,38.612499,38.3125,37.395901,18805640.0,0,0
2024-04-26,39.0,39.200001,38.875,38.004951,23018032.0,0,0
2024-04-29,39.325001,39.775002,39.325001,38.687092,30810776.0,0,0
2024-04-30,39.650002,39.837502,39.5625,38.553097,17931740.0,0,0
2024-05-02,39.337502,39.337502,39.0,38.041492,24868108.0,0,0
2024-05-03,39.637501,39.662498,39.112499,38.236393,22758784.0,0,0
2024-05-06,39.75,40.037498,39.75,38.784538,34385032.0,0,0
2024-05-07,40.0625,40.137501,39.875,39.003799,24914944.0,0,0
2024-05-08,40.0,40.200001,39.912498,39.149975,23909068.0,0,0
2024-05-09,40.1875,40.3125,40.099998,39.101246,20302276.0,0,0
2024-05-10,40.3125,40.525002,40.137501,39.381409,38735812.0,0,0
2024-05-13,40.837502,40.974998,40.737499,39.783386,36463372.0,0,0
2024-05-14,40.799999,41.112499,40.674999,40.051373,30997876.0,0,0
2024-05-15,41.400002,41.962502,41.375,40.599518,58324000.0,0,0
2024-05-16,42.237499,42.4375,41.775002,40.794418,48239680.0,0,0
2024-05-17,41.887501,41.924999,41.674999,40.745689,18716540.0,0,0
2024-05-20,41.8125,41.849998,41.325001,40.733509,27022924.0,0,0
2024-05-21,41.599998,41.787498,41.462502,40.684788,17396092.0,0,0
2024-05-22,41.799999,42.5,41.799999,41.415653,25594296.0,0,0
2024-05-23,42.575001,42.862499,42.5,41.732361,24008260.0,0,0
2024-05-24,42.325001,42.700001,42.325001,41.561825,14620304.0,0,0
2024-05-27,42.9375,43.349998,42.9375,42.134335,22741680.0,0,0
2024-05-28,43.237499,43.349998,43.125,42.19524,22098816.0,0,0
2024-05-29,43.112499,43.125,42.637501,41.622734,27187816.0,0,0
2024-05-30,42.0,42.25,41.924999,40.904045,37110048.0,0,0
2024-05-31,42.0625,42.224998,41.5,40.44117,33146844.0,0,0
2024-06-03,42.162498,42.4375,41.825001,41.306023,35980328.0,0,0
2024-06-04,42.1875,42.1875,41.625,40.648247,31950448.0,0,0
2024-06-05,41.849998,42.200001,41.537498,41.03804,18128396.0,0,0
2024-06-06,43.1875,43.650002,43.162498,42.438866,68229592.0,0,0
2024-06-07,43.325001,43.349998,43.099998,42.109974,27000588.0,0,0
2024-06-11,43.287498,43.5625,43.224998,42.219604,43428272.0,0,0
2024-06-12,43.325001,44.112499,43.325001,42.974831,30368844.0,0,0
2024-06-13,44.724998,45.125,44.450001,43.596062,64426456.0,0,0
2024-06-14,44.737499,45.0,44.450001,43.851864,25992432.0,0,0
2024-06-17,44.799999,45.112499,44.700001,43.851864,32511172.0,0,0
2024-06-18,45.625,45.762501,45.5,44.582733,26253244.0,0,0
2024-06-19,46.1875,47.224998,46.1875,45.788658,101354688.0,0,0
2024-06-20,46.987499,47.4375,46.950001,46.227177,45286572.0,0,0
2024-06-21,46.775002,47.299999,46.737499,45.947014,40956144.0,0,0
2024-06-24,46.625,46.625,45.887501,44.826351,52787124.0,0,0
2024-06-25,45.487499,45.974998,45.200001,44.801991,52138524.0,0,0
2024-06-26,46.237499,46.525002,46.0625,45.155247,35664104.0,0,0
2024-06-27,45.900002,46.325001,45.849998,45.143063,24876244.0,0,0
2024-06-28,46.325001,46.849998,46.162498,45.423225,16587884.0,0,0
2024-07-01,46.637501,47.012501,46.5625,45.459766,29279212.0,0,0
2024-07-02,46.487499,46.6875,46.125,45.155247,21777344.0,0,0
2024-07-03,46.900002,46.900002,46.599998,45.703392,25915028.0,0,0
2024-07-04,47.650002,48.162498,47.650002,46.897133,50576828.0,0,0
2024-07-05,48.150002,48.212502,47.887501,46.726601,38933332.0,0,0
2024-07-08,47.974998,49.625,47.962502,48.200512,69409868.0,0,0
2024-07-09,49.362499,50.012501,48.862499,48.151787,61955156.0,0,0
2024-07-10,49.237499,49.599998,48.75,48.322327,28674444.0,0,0
2024-07-11,50.162498,50.700001,50.0,49.394257,39186920.0,0,0
2024-07-12,49.549999,49.587502,49.0,47.835079,56633068.0,0,0
2024-07-15,49.412498,49.525002,49.025002,47.920341,39160740.0,0,0
2024-07-16,49.137501,49.75,49.0,48.201942,53022152.0,0,0
2024-07-17,49.099998,49.125,48.400002,47.528561,57959112.0,0,0
2024-07-18,47.150002,47.724998,47.049999,46.671528,71520052.0,0,0
2024-07-19,47.1875,47.25,46.549999,45.606358,65815640.0,0,0
2024-07-22,46.349998,46.349998,45.012501,44.247349,84847384.0,0,0
2024-07-23,45.924999,46.575001,45.924999,45.618603,50108316.0,0,0
2024-07-26,44.512501,44.862499,44.275002,43.831074,103626472.0,0,0
2024-07-29,45.450001,45.5,44.987499,44.222866,39785056.0,0,0
2024-07-30,44.8125,45.325001,44.375,44.222866,52429524.0,0,0
2024-07-31,44.712502,45.287498,44.650002,44.284081,36314216.0,0,0
2024-08-01,46.25,46.275002,45.674999,45.055405,56246796.0,0,0
2024-08-02,44.537498,44.724998,43.674999,42.778149,118827260.0,0,0
2024-08-05,41.662498,41.662498,39.599998,38.872532,222308816.0,0,0
2024-08-06,41.825001,42.599998,40.200001,41.015114,252563844.0,0,0
2024-08-07,42.462502,43.6875,42.25,42.643471,127298960.0,0,0
2024-08-08,42.762501,43.099998,42.25,41.761955,103364420.0,0,0
2024-08-09,43.75,44.224998,43.625,43.05975,93415024.0,0,0
2024-08-12,44.3125,44.950001,44.3125,43.598454,70286956.0,0,0
2024-08-13,44.825001,44.875,44.5,43.708645,43433840.0,0,0
2024-08-14,45.087502,45.462502,44.987499,44.259594,74857276.0,0,0
2024-08-15,45.150002,45.25,44.762501,43.916782,45926588.0,0,0
2024-08-16,45.75,45.912498,45.587502,44.908489,52823660.0,0,0
2024-08-19,45.875,46.174999,45.787498,44.969704,37122372.0,0,0
2024-08-20,46.150002,46.299999,45.924999,44.99419,43139504.0,0,0
2024-08-21,45.75,45.762501,45.362499,44.516701,46736568.0,0,0
2024-08-22,45.525002,45.650002,45.087502,44.284081,20872828.0,0,0
2024-08-23,44.75,45.337502,44.724998,44.308563,31773940.0,0,0
2024-08-26,45.599998,45.849998,45.200001,44.382027,45593952.0,0,0
2024-08-27,45.099998,45.224998,44.9375,44.186131,21167864.0,0,0
2024-08-28,45.125,45.75,44.962502,44.810543,21989684.0,0,0
2024-08-29,44.875,45.287498,44.787498,44.198376,43063780.0,0,0
2024-08-30,45.237499,45.512501,45.162498,44.406513,32202952.0,0,0
2024-09-02,45.474998,45.612499,45.125,44.284081,32057896.0,0,0
2024-09-03,45.25,45.375,44.924999,44.088188,38411312.0,0,0
2024-09-04,42.75,43.450001,42.5,41.933361,119635984.0,0,0
2024-09-05,43.212502,43.662498,42.9375,42.190475,35275304.0,0,0
